country_send,country_receive,company_name,ticket_size,timestamp,fx_rate_3,service_fee
QAR,INR,Western Union,3000,6/6/2024 22:22,22.7875,20.00
QAR,INR,Western Union,15000,6/6/2024 22:22,22.7875,20.00
QAR,BDT,Western Union,1500,6/6/2024 22:23,32.2280,20.00
QAR,BDT,Western Union,3000,6/6/2024 22:23,32.2280,20.00
QAR,BDT,Western Union,15000,6/6/2024 22:24,32.2280,20.00
QAR,PHP,Western Union,1500,6/6/2024 22:24,15.9725,20.00
QAR,PHP,Western Union,3000,6/6/2024 22:25,15.9725,20.00
QAR,PHP,Western Union,15000,6/6/2024 22:26,15.9725,20.00
SAR,INR,Western Union,2000,6/6/2024 22:26,21.9316,0.00
SAR,INR,Western Union,4000,6/6/2024 22:26,21.9316,0.00
SAR,INR,Western Union,20000,6/6/2024 22:27,21.9316,0.00
SAR,BDT,Western Union,2000,6/6/2024 22:27,31.0496,0.00
SAR,BDT,Western Union,4000,6/6/2024 22:28,31.0496,0.00
SAR,BDT,Western Union,20000,6/6/2024 22:28,31.0496,0.00
SAR,PHP,Western Union,2000,6/6/2024 22:29,15.5128,0.00
SAR,PHP,Western Union,4000,6/6/2024 22:29,15.5128,0.00
SAR,PHP,Western Union,20000,6/6/2024 22:29,15.5128,0.00
SGD,INR,Western Union,500,6/6/2024 22:31,,0.00
SGD,INR,Western Union,1000,6/6/2024 22:31,62.0652,0.00
SGD,INR,Western Union,5000,6/6/2024 22:31,61.9290,0.00
SGD,CNY,Western Union,500,6/6/2024 22:32,5.3610,0.00
SGD,CNY,Western Union,1000,6/6/2024 22:32,5.3610,0.00
SGD,CNY,Western Union,5000,6/6/2024 22:33,5.3610,0.00
AED,INR,Western Union,2000,6/6/2024 22:33,22.6221,15.00
AED,INR,Western Union,4000,6/6/2024 22:33,22.6221,15.00
AED,INR,Western Union,20000,6/6/2024 22:34,22.6675,44.01
AED,BDT,Western Union,2000,6/6/2024 22:34,31.9941,15.00
AED,BDT,Western Union,4000,6/6/2024 22:35,31.9941,15.00
AED,BDT,Western Union,20000,6/6/2024 22:35,31.9941,44.01
AED,PHP,Western Union,2000,6/6/2024 22:36,15.9203,15.00
AED,PHP,Western Union,4000,6/6/2024 22:36,15.9203,15.00
AED,PHP,Western Union,20000,6/6/2024 22:36,15.9203,44.01
GBP,BDT,Western Union,500,6/6/2024 22:37,151.8739,0.00
GBP,BDT,Western Union,1000,6/6/2024 22:37,151.8739,0.00
GBP,BDT,Western Union,5000,6/6/2024 22:38,,0.00
GBP,PHP,Western Union,500,6/6/2024 22:39,75.9234,0.00
GBP,PHP,Western Union,1000,6/6/2024 22:39,75.9234,0.00
GBP,PHP,Western Union,5000,6/6/2024 22:40,74.9047,0.00
GBP,CNY,Western Union,500,6/6/2024 22:40,9.1472,0.00
GBP,CNY,Western Union,1000,6/6/2024 22:40,9.1472,0.00
GBP,CNY,Western Union,5000,6/6/2024 22:41,9.1472,0.00
GBP,VND,Western Union,500,6/6/2024 22:41,32205.5600,0.00
GBP,VND,Western Union,1000,6/6/2024 22:42,32205.5600,0.00
GBP,VND,Western Union,4000,6/6/2024 22:42,32205.5600,0.00
GBP,INR,Western Union,500,6/6/2024 22:42,107.8764,0.00
GBP,INR,Western Union,1000,6/6/2024 22:43,107.8764,0.00
GBP,INR,Western Union,5000,6/6/2024 22:43,106.6499,0.00
USD,INR,Western Union,500,6/6/2024 22:44,83.0073,6.94
USD,INR,Western Union,1000,6/6/2024 22:44,83.0073,10.89
USD,INR,Western Union,5000,6/6/2024 22:45,83.0073,42.49
USD,BDT,Western Union,500,6/6/2024 22:46,117.6120,2.99
USD,BDT,Western Union,1000,6/6/2024 22:46,117.6120,2.99
USD,BDT,Western Union,5000,6/6/2024 22:47,117.6120,2.99
USD,PHP,Western Union,500,6/6/2024 22:47,57.4851,3.99
USD,PHP,Western Union,1000,6/6/2024 22:48,57.4851,3.99
USD,PHP,Western Union,5000,6/6/2024 22:48,57.4851,3.99
USD,CNY,Western Union,500,6/6/2024 22:49,7.0769,3.99
USD,CNY,Western Union,1000,6/6/2024 22:49,7.0769,3.99
USD,CNY,Western Union,5000,6/6/2024 22:50,7.0769,3.99
USD,VND,Western Union,500,6/6/2024 22:50,25070.0400,2.99
USD,VND,Western Union,1000,6/6/2024 22:51,25070.0400,2.99
USD,VND,Western Union,5000,6/6/2024 22:51,25070.0400,2.99
